"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Extension.extension:imageRegion2D","Extension.extension","imageRegion2D","","",0,*,"","","","Extension {[]} {[]}
","R5: A specific 2D region in a DICOM image / frame (new)","R5: `ImagingSelection.instance.imageRegion2D` (new:BackboneElement)","Element `ImagingSelection.instance.imageRegion2D` is part of an existing definition because parent element `ImagingSelection.instance` requires a cross-version extension.
Element `ImagingSelection.instance.imageRegion2D` is not mapped to FHIR R4, since FHIR R5 `ImagingSelection` is not mapped.
Element `ImagingSelection.instance.imageRegion2D` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Shall not be present if the parent imagingSelection.instance is not an image. Element `ImagingSelection.instance.imageRegion2D` is part of an existing definition because parent element `ImagingSelection.instance` requires a cross-version extension.
Element `ImagingSelection.instance.imageRegion2D` is not mapped to FHIR R4, since FHIR R5 `ImagingSelection` is not mapped.
Element `ImagingSelection.instance.imageRegion2D` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:imageRegion2D.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:imageRegion2D.extension","Extension.extension.extension","","","",2,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:imageRegion2D.extension:regionType","Extension.extension.extension","regionType","","",1,1,"","","","Extension {[]} {[]}
","R5: point | polyline | interpolated | circle | ellipse (new)","R5: `ImagingSelection.instance.imageRegion2D.regionType` (new:code)","Element `ImagingSelection.instance.imageRegion2D.regionType` is part of an existing definition because parent element `ImagingSelection.instance.imageRegion2D` requires a cross-version extension.
Element `ImagingSelection.instance.imageRegion2D.regionType` is not mapped to FHIR R4, since FHIR R5 `ImagingSelection` is not mapped.
Element `ImagingSelection.instance.imageRegion2D.regionType` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
See [DICOM PS3.3 C.10.5.1.2](https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.10.5.html#sect_C.10.5.1.2).","Element `ImagingSelection.instance.imageRegion2D.regionType` is part of an existing definition because parent element `ImagingSelection.instance.imageRegion2D` requires a cross-version extension.
Element `ImagingSelection.instance.imageRegion2D.regionType` is not mapped to FHIR R4, since FHIR R5 `ImagingSelection` is not mapped.
Element `ImagingSelection.instance.imageRegion2D.regionType` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:imageRegion2D.extension:regionType.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:imageRegion2D.extension:regionType.extension","Extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:imageRegion2D.extension:regionType.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""regionType""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:imageRegion2D.extension:regionType.value[x]","Extension.extension.extension.value[x]","","","",1,1,"","","","code {[]} {[]}
","point | polyline | interpolated | circle | ellipse","Specifies the type of image region.","See [DICOM PS3.3 C.10.5.1.2](https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.10.5.html#sect_C.10.5.1.2).","","","","","","","","",,"required","The type of image region.","http://hl7.org/fhir/uv/xver/ValueSet/R5-imagingselection-2dgraphictype-for-R4|0.1.0","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:imageRegion2D.extension:coordinate","Extension.extension.extension","coordinate","","",1,*,"","","","Extension {[]} {[]}
","R5: Specifies the coordinates that define the image region (new)","R5: `ImagingSelection.instance.imageRegion2D.coordinate` (new:decimal)","Element `ImagingSelection.instance.imageRegion2D.coordinate` is part of an existing definition because parent element `ImagingSelection.instance.imageRegion2D` requires a cross-version extension.
Element `ImagingSelection.instance.imageRegion2D.coordinate` is not mapped to FHIR R4, since FHIR R5 `ImagingSelection` is not mapped.
Element `ImagingSelection.instance.imageRegion2D.coordinate` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
For a description of how 2D coordinates are encoded, see [DICOM PS3.3 C.18.6](http://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.18.6.html).","The number of values must be a multiple of two. Element `ImagingSelection.instance.imageRegion2D.coordinate` is part of an existing definition because parent element `ImagingSelection.instance.imageRegion2D` requires a cross-version extension.
Element `ImagingSelection.instance.imageRegion2D.coordinate` is not mapped to FHIR R4, since FHIR R5 `ImagingSelection` is not mapped.
Element `ImagingSelection.instance.imageRegion2D.coordinate` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:imageRegion2D.extension:coordinate.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
