"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"Basic","Basic","","Z-resource
Extension-resourceCustom-resource","",0,*,"","","","null {[]} {[]}
"Basic.extension:copyright","Basic.extension","copyright","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.copyright|0.1.0]]} {[]}
","R5: Use and/or publishing restrictions for the citation record, not for the cited artifact (new)","R5: `Citation.copyright` (new:markdown)","Element `Citation.copyright` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.copyright` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:copyrightLabel","Basic.extension","copyrightLabel","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.copyrightLabel|0.1.0]]} {[]}
","R5: Copyright holder and year(s) for the ciation record, not for the cited artifact (new)","R5: `Citation.copyrightLabel` (new:string)","Element `Citation.copyrightLabel` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.copyrightLabel` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The (c) symbol should NOT be included in this string. It will be added by software when rendering the notation. Full details about licensing, restrictions, warrantees, etc. goes in the more general 'copyright' element.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:approvalDate","Basic.extension","approvalDate","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.approvalDate|0.1.0]]} {[]}
","R5: When the citation record was approved by publisher (new)","R5: `Citation.approvalDate` (new:date)","Element `Citation.approvalDate` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.approvalDate` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The 'date' element may be more recent than the approval date because of minor changes or editorial corrections.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:lastReviewDate","Basic.extension","lastReviewDate","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.lastReviewDate|0.1.0]]} {[]}
","R5: When the citation record was last reviewed by the publisher (new)","R5: `Citation.lastReviewDate` (new:date)","Element `Citation.lastReviewDate` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.lastReviewDate` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
If specified, this date follows the original approval date.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:effectivePeriod","Basic.extension","effectivePeriod","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.effectivePeriod|0.1.0]]} {[]}
","R5: When the citation record is expected to be used (new)","R5: `Citation.effectivePeriod` (new:Period)","Element `Citation.effectivePeriod` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.effectivePeriod` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The effective period for a citation record determines when the content is applicable for usage and is independent of publication and review dates. For example, a citation intended to be used for the year 2016 might be published in 2015.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:author","Basic.extension","author","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.author|0.1.0]]} {[]}
","R5: Who authored the citation record (new)","R5: `Citation.author` (new:ContactDetail)","Element `Citation.author` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.author` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
While the source element matches Basic element path `` (``), the definitions are not compatible (source: `ContactDetail`:0..* -> basic: `Reference(http://hl7.org/fhir/StructureDefinition/Practitioner,http://hl7.org/fhir/StructureDefinition/PractitionerRole,http://hl7.org/fhir/StructureDefinition/Patient,http://hl7.org/fhir/StructureDefinition/RelatedPerson,http://hl7.org/fhir/StructureDefinition/Organization)`:0..1).
The Citation.author element is structured to support a name (with a string datatype) and contact point information for the author/creator, and is not structured to support unique identifiers for the author. If detailed contributorship data is needed for the authorship of the citation record, then one can create a Citation Resource for the Citation Resource.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:editor","Basic.extension","editor","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.editor|0.1.0]]} {[]}
","R5: Who edited the citation record (new)","R5: `Citation.editor` (new:ContactDetail)","Element `Citation.editor` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.editor` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The Citation.editor element is structured to support a name (with a string datatype) and contact point information for the editor, and is not structured to support unique identifiers for the editor. If detailed contributorship data is needed for the editing of the citation record, then one can create a Citation Resource for the Citation Resource.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:reviewer","Basic.extension","reviewer","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.reviewer|0.1.0]]} {[]}
","R5: Who reviewed the citation record (new)","R5: `Citation.reviewer` (new:ContactDetail)","Element `Citation.reviewer` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.reviewer` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The Citation.reviewer element is structured to support a name (with a string datatype) and contact point information for the reviewer, and is not structured to support unique identifiers for the reviewer. If detailed contributorship data is needed for the review of the citation record, then one can create a Citation Resource for the Citation Resource.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:endorser","Basic.extension","endorser","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.endorser|0.1.0]]} {[]}
","R5: Who endorsed the citation record (new)","R5: `Citation.endorser` (new:ContactDetail)","Element `Citation.endorser` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.endorser` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The Citation.endorser element is structured to support a name (with a string datatype) and contact point information for the endorser, and is not structured to support unique identifiers for the endorser. If detailed contributorship data is needed for the endorsement of the citation record, then one can create a Citation Resource for the Citation Resource.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:summary","Basic.extension","summary","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.summary|0.1.0]]} {[]}
","R5: A human-readable display of key concepts to represent the citation (new)","R5: `Citation.summary` (new:BackboneElement)","Element `Citation.summary` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.summary` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
